Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
294,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,"40,188","34,462",16.62%
295,NM,WY,COD,Cody,Yellowstone Regional,P,N,"39,578","40,340",-1.89%
296,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,"38,773","40,165",-3.47%
297,WP,HI,LNY,Lanai City,Lanai,P,N,"37,993","43,275",-12.21%
298,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,"37,920","34,226",10.79%
299,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,"36,455","53,633",-32.03%
300,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,"36,433","36,054",1.05%
302,CE,MO,JLN,Joplin,Joplin Regional,P,N,"35,498","27,930",27.10%
303,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,"34,910","38,452",-9.21%
304,AL,AK,AKN,King Salmon,King Salmon,P,N,"34,800","36,717",-5.22%
305,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,"34,101","33,565",1.60%
306,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,"33,425","68,415",-51.14%
308,GL,SD,PIR,Pierre,Pierre Regional,P,N,"32,822","8,246",298.04%
309,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,"32,299","43,005",-24.89%
310,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,"32,250","34,979",-7.80%
311,GL,OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,P,N,"30,681","25,706",19.35%
312,AL,AK,DUT,Unalaska,Unalaska,P,N,"30,080","31,055",-3.14%
313,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,"29,455","31,027",-5.07%
314,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,"29,271","28,383",3.13%
315,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,"29,038","25,510",13.83%
316,AL,AK,DLG,Dillingham,Dillingham,P,N,"28,895","33,616",-14.04%
317,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,"28,669","27,911",2.72%
318,NM,MT,BTM,Butte,Bert Mooney,P,N,"27,703","25,890",7.00%
319,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,"27,635","26,529",4.17%
320,SW,OK,SWO,Stillwater,Stillwater Regional,P,N,"27,370","10,362",164.14%
321,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,"27,358","27,069",1.07%
323,CE,KS,GCK,Garden City,Garden City Regional,P,N,"26,687","26,825",-0.51%
324,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,"26,556","31,141",-14.72%
325,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,"26,220","30,956",-15.30%
326,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,"25,584","27,274",-6.20%
327,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,"25,105","26,025",-3.54%
328,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,"24,843","25,439",-2.34%
329,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,"24,527","40,120",-38.87%
330,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,"23,961","25,497",-6.02%
331,SO,MS,MEI,Meridian,Key Field,P,N,"23,923","26,359",-9.24%
332,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,"23,767","26,518",-10.37%
334,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,"23,014","20,414",12.74%
335,EA,NY,OGS,Ogdensburg,Ogdensburg International,P,N,"22,957","10,281",123.30%
336,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"22,915","21,896",4.65%
337,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,"22,822","21,304",7.13%
338,EA,NY,ART,Watertown,Watertown International,P,N,"22,785","17,312",31.61%
339,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,"22,261","20,974",6.14%
341,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,"21,383","18,328",16.67%
342,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,"21,352","21,826",-2.17%
343,WP,AZ,PGA,Page,Page Municipal,P,N,"21,347","17,435",22.44%
345,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,P,N,"21,214","19,178",10.62%
346,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,"20,918","15,615",33.96%
347,SO,KY,PAH,Paducah,Barkley Regional,P,N,"20,910","20,266",3.18%
348,AL,AK,LHD,Anchorage,Lake Hood,P,N,"20,689","23,382",-11.52%
349,NM,UT,OGD,Ogden,Ogden-Hinckley,P,N,"20,324","15,609",30.21%
350,SO,KY,OWB,Owensboro,Owensboro-Daviess County Regional,P,N,"19,578","23,537",-16.82%
352,SW,TX,GGG,Longview,East Texas Regional,P,N,"19,261","22,480",-14.32%
353,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,"18,963","16,822",12.73%
354,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,"18,361","24,054",-23.67%
355,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,"18,323","19,320",-5.16%
356,AL,AK,MRI,Anchorage,Merrill Field,P,N,"18,298","19,144",-4.42%
357,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"18,280","18,649",-1.98%
359,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,"18,109","16,110",12.41%
360,GL,MI,IMT,Iron Mountain,Ford,P,N,"17,707","12,604",40.49%
361,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,"17,294","17,795",-2.82%
362,WP,NV,EKO,Elko,Elko Regional,P,N,"17,115","14,893",14.92%
363,NE,RI,WST,Westerly,Westerly State,P,N,"17,021","17,218",-1.14%
364,GL,MI,MKG,Muskegon,Muskegon County,P,N,"17,007","18,165",-6.37%
365,GL,MI,ESC,Escanaba,Delta County,P,N,"16,781","16,822",-0.24%
366,SW,NM,HOB,Hobbs,Lea County Regional,P,N,"16,216","14,707",10.26%
367,AL,AK,UNK,Unalakleet,Unalakleet,P,N,"16,111","16,948",-4.94%
368,NE,ME,RKD,Rockland,Knox County Regional,P,N,"16,092","16,206",-0.70%
369,NM,WY,LAR,Laramie,Laramie Regional,P,N,"16,072","15,957",0.72%
370,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,"15,588","14,413",8.15%
371,NE,RI,BID,Block Island,Block Island State,P,N,"15,497","17,225",-10.03%
372,GL,MN,HIB,Hibbing,Range Regional,P,N,"15,377","12,654",21.52%
373,GL,MN,INL,International Falls,Falls International-Einarson Field,P,N,"15,278","13,831",10.46%
375,WP,CA,CCR,Concord,Buchanan Field,P,N,"14,517",67,21567.16%
377,CE,KS,SLN,Salina,Salina Regional,P,N,"13,850","3,967",249.13%
378,AL,AK,WRG,Wrangell,Wrangell,P,N,"13,160","12,569",4.70%
379,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,"12,971","14,719",-11.88%
382,AL,AK,ANI,Aniak,Aniak,P,N,"12,735","13,688",-6.96%
383,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,"12,735","12,526",1.67%
384,GL,OH,BKL,Cleveland,Burke Lakefront,P,N,"12,024","9,917",21.25%
385,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,"11,726","12,367",-5.18%
386,AL,AK,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,"11,528","12,851",-10.29%
387,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,"11,441","7,539",51.76%
388,SO,FL,SGJ,Saint Augustine,Northeast Florida Regional,P,N,"11,431","28,462",-59.84%
390,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,"11,321","12,631",-10.37%
391,GL,MI,APN,Alpena,Alpena County Regional,P,N,"11,317","10,031",12.82%
392,GL,SD,ATY,Watertown,Watertown Regional,P,N,"11,160","2,117",427.16%
394,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,"11,029","10,044",9.81%
395,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,"10,956","15,105",-27.47%
396,AL,AK,AKW,Klawock,Klawock,P,N,"10,923","10,628",2.78%
397,GL,ND,JMS,Jamestown,Jamestown Regional,P,N,"10,917","11,123",-1.85%
398,AL,AK,YAK,Yakutat,Yakutat,P,N,"10,886","10,756",1.21%
399,NM,WY,SHR,Sheridan,Sheridan County,P,N,"10,876","9,211",18.08%
401,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,"10,383","10,245",1.35%
402,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,"10,359","12,831",-19.27%
403,NM,UT,CNY,Moab,Canyonlands Field,P,N,"10,032","7,837",28.01%
411,NM,MT,WYS,West Yellowstone,Yellowstone,P,N,"8,786","8,525",3.06%
,,,255,,Nonhub Primary,,,,,3.06%
404,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,"9,664","10,532",-8.24%
405,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,"9,509","10,094",-5.80%
406,CE,KS,HYS,Hays,Hays Regional,CS,None,"9,460","8,265",14.46%
407,SO,FL,VRB,Vero Beach,Vero Beach Regional,CS,None,"9,110","4,581",98.86%
408,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,None,"9,078","8,108",11.96%
409,AL,AK,GST,Gustavus,Gustavus,CS,None,"9,061","11,438",-20.78%
410,NE,MA,PVC,Provincetown,Provincetown Municipal,CS,None,"8,900","10,074",-11.65%
413,NM,MT,SDY,Sidney,Sidney-Richland Regional,CS,None,"8,429","8,065",4.51%
415,GL,IL,DEC,Decatur,Decatur,CS,None,"8,324","8,453",-1.53%
416,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,"8,318","9,426",-11.75%
417,NM,WY,RIW,Riverton,Riverton Regional,CS,None,"8,277","4,228",95.77%
419,AL,AK,ENM,Emmonak,Emmonak,CS,None,"8,004","8,072",-0.84%
421,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,"7,890","4,564",72.87%
422,AL,AK,HNS,Haines,Haines,CS,None,"7,864","8,936",-12.00%
423,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,"7,767","8,209",-5.38%
424,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,"7,759","7,086",9.50%
425,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,None,"7,709","7,847",-1.76%
426,CE,IA,MCW,Mason City,Mason City Municipal,CS,None,"7,502","7,734",-3.00%
427,AL,AK,SGY,Skagway,Skagway,CS,None,"7,380","8,714",-15.31%
428,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,"7,338","7,403",-0.88%
431,NM,WA,ORS,Eastsound,Orcas Island,CS,None,"7,223","7,826",-7.71%
432,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,"7,140","7,271",-1.80%
433,AL,AK,HNH,Hoonah,Hoonah,CS,None,"6,820","8,809",-22.58%
434,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,"6,802","8,667",-21.52%
435,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,"6,799","6,552",3.77%
436,NM,UT,VEL,Vernal,Vernal Regional,CS,None,"6,615","4,007",65.09%
437,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,None,"6,605","5,442",21.37%
438,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,"6,494","3,863",68.11%
439,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,"6,490","5,295",22.57%
440,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,"6,345","7,203",-11.91%
441,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,"6,321","5,532",14.26%
442,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,"6,255","5,344",17.05%
444,WP,CA,IPL,Imperial,Imperial County,CS,None,"6,136","4,136",48.36%
445,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,"6,101","7,012",-12.99%
446,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,"5,998","7,022",-14.58%
447,WP,CA,CRQ,Carlsbad,McClellan-Palomar,CS,None,"5,931",180,3195.00%
448,WP,AZ,PRC,Prescott,Ernest A Love Field,CS,None,"5,888","3,451",70.62%
449,AL,AK,ILI,Iliamna,Iliamna,CS,None,"5,752","5,835",-1.42%
450,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,"5,735","3,524",62.74%
451,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,"5,701","2,582",120.80%
452,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,CS,None,"5,698","7,851",-27.42%
453,SW,NM,SVC,Silver City,Grant County,CS,None,"5,686","5,442",4.48%
455,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,None,"5,646","4,986",13.24%
456,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,"5,598","6,119",-8.51%
457,CE,NE,CDR,Chadron,Chadron Municipal,CS,None,"5,532","4,474",23.65%
458,NM,OR,LMT,Klamath Falls,Crater Lake-Klamath Regional,CS,None,"5,529","2,827",95.58%
459,EA,WV,LWB,Lewisburg,Greenbrier Valley,CS,None,"5,495","4,965",10.67%
460,NE,ME,AUG,Augusta,Augusta State,CS,None,"5,435","5,128",5.99%
461,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,"5,348","5,069",5.50%
462,AL,AK,WLK,Selawik,Selawik,CS,None,"5,260","5,011",4.97%
463,AL,AK,VAK,Chevak,Chevak,CS,None,"5,243","5,654",-7.27%
464,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,"5,176","5,747",-9.94%
465,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,"5,152","4,733",8.85%
466,SW,NM,CVN,Clovis,Clovis Municipal,CS,None,"5,053","4,854",4.10%
467,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,"5,024","5,146",-2.37%
468,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,"5,022","5,635",-10.88%
469,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,"4,977","4,732",5.18%
470,AL,AK,PHO,Point Hope,Point Hope,CS,None,"4,964","5,338",-7.01%
472,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,"4,917","4,139",18.80%
473,CE,KS,FOE,Topeka,Topeka Regional,CS,None,"4,901","6,051",-19.01%
475,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,"4,852","5,311",-8.64%
476,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,"4,785","4,593",4.18%
477,AL,AK,OOK,Wade Hampton (Census Area),Toksook Bay,CS,None,"4,777","5,316",-10.14%
478,AL,AK,WTK,Noatak,Noatak,CS,None,"4,716","4,681",0.75%
479,CE,NE,EAR,Kearney,Kearney Regional,CS,None,"4,607","4,180",10.22%
480,EA,PA,LNS,Lititz,Lancaster,CS,None,"4,577","4,230",8.20%
481,AL,AK,BVK,Buckland,Buckland,CS,None,"4,456","4,198",6.15%
482,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,"4,444","4,004",10.99%
483,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,"4,407","4,445",-0.85%
484,SW,AR,HRO,Harrison,Boone County,CS,None,"4,371","1,178",271.05%
486,AL,AK,SOV,Seldovia,Seldovia,CS,None,"4,206","4,133",1.77%
487,AL,AK,SVA,Savoonga,Savoonga,CS,None,"4,188","4,197",-0.21%
488,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,"4,155","4,170",-0.36%
490,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,"4,093","4,513",-9.31%
491,AL,AK,CFK,Chefornak,Chefornak,CS,None,"4,027","4,456",-9.63%
492,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,"4,007","3,661",9.45%
493,AL,AK,SDP,Sand Point,Sand Point,CS,None,"3,998","4,146",-3.57%
494,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,"3,972","3,057",29.93%
495,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,CS,None,"3,911","4,075",-4.02%
497,EA,PA,BFD,Bradford,Bradford Regional,CS,None,"3,897","2,623",48.57%
498,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,"3,888","2,934",32.52%
500,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,"3,856","3,522",9.48%
501,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,"3,833","2,377",61.25%
502,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,"3,806","1,865",104.08%
503,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,"3,804","3,439",10.61%
505,AL,AK,AWI,Barrow (County),Wainwright,CS,None,"3,756","3,932",-4.48%
506,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B Heilig Field,CS,None,"3,709","4,262",-12.98%
509,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,"3,614","3,875",-6.74%
510,AL,AK,2A9,Kotlik,Kotlik,CS,None,"3,612","3,531",2.29%
511,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,"3,594","4,193",-14.29%
512,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,"3,589","3,978",-9.78%
513,NM,MT,GGW,Glasgow,Wokal Field/Glasgow International,CS,None,"3,517","3,251",8.18%
516,AL,AK,GAM,Gambell,Gambell,CS,None,"3,493","3,860",-9.51%
517,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,"3,485","3,127",11.45%
519,AL,AK,KVL,Kivalina,Kivalina,CS,None,"3,454","3,421",0.96%
520,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,"3,360","3,445",-2.47%
521,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,"3,353","4,127",-18.75%
522,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,"3,341","3,870",-13.67%
524,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,"3,263","4,159",-21.54%
525,SO,GA,PDK,Atlanta,Dekalb-Peachtree,CS,None,"3,259",472,590.47%
526,AL,AK,BTI,Kaktovik,Barter Island,CS,None,"3,212","3,136",2.42%
528,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,"3,096","3,628",-14.66%
529,AL,AK,KAE,Kake,Kake,CS,None,"3,087","3,227",-4.34%
530,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,"3,049","4,190",-27.23%
533,WP,HI,HNM,Hana,Hana,CS,None,"2,967","2,211",34.19%
534,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,"2,948","3,706",-20.45%
536,AL,AK,KLG,Kalskag,Kalskag,CS,None,"2,915","3,142",-7.22%
537,AL,AK,HLA,Huslia,Huslia,CS,None,"2,897","2,728",6.20%
538,AL,AK,EEK,Eek,Eek,CS,None,"2,839","3,406",-16.65%
539,AL,AK,2C7,Shaktoolik,Shaktoolik,CS,None,"2,779","2,299",20.88%
540,SW,NM,FMN,Farmington,Four Corners Regional,CS,None,"2,739","1,359",101.55%
541,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,"2,733","2,854",-4.24%
542,NM,MT,HVR,Havre,Havre City-County,CS,None,"2,716","2,323",16.92%
543,CE,NE,MCK,McCook,McCook Ben Nelson Regional,CS,None,"2,710","1,619",67.39%
544,AL,AK,WBB,Stebbins,Stebbins,CS,None,"2,687","2,571",4.51%
545,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,"2,654","1,603",65.56%
546,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,"2,651","2,649",0.08%
547,AL,AK,SMK,St. Michael (ANV/ANVSA),St Michael,CS,None,"2,641","2,464",7.18%
548,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,"2,633","2,952",-10.81%
549,AL,AK,EWU,Newtok,Newtok,CS,None,"2,602","2,936",-11.38%
550,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,"2,595","2,838",-8.56%
551,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,"2,586","1,285",101.25%
553,AL,AK,MCG,McGrath,McGrath,CS,None,"2,566","3,236",-20.70%
554,AL,AK,Z13,Akiachak,Akiachak,CS,None,"2,556","3,045",-16.06%
555,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,"2,505","3,194",-21.57%
,,,125,,"Nonhub Primary, Commercial Service ",,,,,
,,,511,,Total Commercial Service,,,,,
